,pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2
1832,Kepler-825,b,2016,294.769908,39.398514,,2454967.0693900003,0.00266,-0.00266,1,0.111892,2,0,1,Kepler,,,,,1.03,0.12,-0.08,1.08,0.28,-0.15,5976.0,247.56,-202.44,14.207,13.069,12.725999999999999,,,,0.136,0.035,-0.02,0.0093,,,,3.77360059,1.242e-05,-1.242e-05,,,
1833,Kepler-825,c,2016,294.769908,39.398514,,2454967.81479,0.00206,-0.00206,1,0.10248299999999999,2,0,1,Kepler,,,,,1.03,0.12,-0.08,1.08,0.28,-0.15,5976.0,247.56,-202.44,14.207,13.069,12.725999999999999,,,,0.16399999999999998,0.036000000000000004,-0.021,0.0127,,,,8.1818246,2.265e-05,-2.265e-05,,,
1834,Kepler-826,b,2016,284.860139,39.240548,,2454966.36175,0.00324,-0.00324,1,0.11795,1,0,1,Kepler,,,,,1.05,0.07,-0.06,1.15,0.18,-0.13,6079.0,90.49,-96.47,13.446,12.373,12.058,,,,0.11199999999999999,0.018000000000000002,-0.012,0.0066,,,,4.48758907,1.653e-05,-1.653e-05,,,
1835,Kepler-827,b,2016,294.966046,42.708569,,2454984.93175,0.00146,-0.00146,1,0.221179,1,0,1,Kepler,,,,,0.93,0.07,-0.06,0.91,0.11,-0.07,5602.0,179.4,-142.49,15.897,14.668,14.265999999999998,,,,0.502,0.062,-0.040999999999999995,0.0849,,,,51.92927591,9.288e-05,-9.288e-05,,,
1836,Kepler-828,b,2016,286.887275,42.471256,,2454967.062486,0.0006309999999999999,-0.0006309999999999999,1,0.041121,1,0,1,Kepler,,,,,0.81,0.04,-0.04,0.77,0.04,-0.04,5039.0,50.73,-59.5,15.055,13.585999999999999,13.145999999999999,,,,0.135,0.006999999999999999,-0.01,0.00909,,,,0.56785714,4.4e-07,-4.4e-07,,,
1837,Kepler-829,b,2016,282.33279300000004,42.463825,,2454968.2645799997,0.00243,-0.00243,1,0.09350800000000001,1,0,1,Kepler,,,,,0.98,0.05,-0.06,0.97,0.2,-0.08,5698.0,92.85,-120.29,14.931,13.699000000000002,13.364,,,,0.188,0.039,-0.016,0.016,,,,6.88337562,1.963e-05,-1.963e-05,,,
1838,Kepler-830,b,2016,295.054286,42.756847,,2454967.5687599997,0.00462,-0.00462,1,0.19096,1,0,1,Kepler,,,,,1.07,0.12,-0.09,1.11,0.31,-0.14,6037.0,155.85,-209.5,14.788,13.662,13.34,,,,0.152,0.054000000000000006,-0.022000000000000002,0.0111,,,,11.29695137,6.299e-05,-6.299e-05,,,
1839,Kepler-831,b,2016,294.985491,42.727669,,2454969.8905,0.0018,-0.0018,1,0.098492,1,0,1,Kepler,,,,,0.99,0.04,-0.04,0.97,0.07,-0.05,5732.0,74.53,-59.69,13.687000000000001,12.539000000000001,12.227,,,,0.113,0.009000000000000001,-0.006,0.00678,,,,5.62153941,1.272e-05,-1.272e-05,,,
1840,Kepler-832,b,2016,295.926094,45.383862,,2454970.18577,0.00331,-0.00331,1,0.16371,1,0,1,Kepler,,,,,0.92,0.06,-0.06,0.9,0.14,-0.07,5596.0,181.65,-133.14,15.905999999999999,14.682,14.295,,,,0.184,0.028999999999999998,-0.015,0.0154,,,,7.1396941,2.817e-05,-2.817e-05,,,
1841,Kepler-833,b,2016,290.479954,45.6007,,2454974.71563,0.0022199999999999998,-0.0022199999999999998,1,0.12783699999999998,1,0,1,Kepler,,,,,0.64,0.03,-0.03,0.62,0.02,-0.02,4339.0,39.28,-37.41,15.472999999999999,13.629000000000001,13.005999999999998,,,,0.18,0.011000000000000001,-0.008,0.0149,,,,18.7546998,5.142e-05,-5.142e-05,,,
1842,Kepler-834,b,2016,287.05451600000004,45.180374,,2454968.2444599997,0.00282,-0.00282,1,0.136533,1,0,1,Kepler,,,,,0.7,0.03,-0.03,0.66,0.03,-0.03,4554.0,50.38,-45.2,15.931,14.167,13.600999999999999,,,,0.18,0.009000000000000001,-0.009000000000000001,0.0149,,,,13.32388301,5.212e-05,-5.212e-05,,,
1843,Kepler-835,b,2016,283.574233,45.734802,,2455019.3097200003,0.004220000000000001,-0.004220000000000001,1,0.18258,1,0,1,Kepler,,,,,1.08,0.07,-0.05,1.11,0.21,-0.1,5954.0,71.86,-70.98,15.965,14.857999999999999,14.585999999999999,,,,0.249,0.048,-0.026000000000000002,0.0258,,,,11.41909375,7.116e-05,-7.116e-05,,,
1844,Kepler-836,b,2016,287.45277799999997,45.704399,,2454969.92653,0.0017,-0.0017,1,0.17522100000000002,1,0,1,Kepler,,,,,1.03,0.06,-0.07,1.04,0.24,-0.1,5895.0,74.32,-83.11,14.63,13.539000000000001,13.244000000000002,,,,0.244,0.057,-0.028999999999999998,0.0249,,,,11.36112327,2.363e-05,-2.363e-05,,,
1845,Kepler-837,b,2016,285.24667,45.950195,,2454966.4974599998,0.0022600000000000003,-0.0022600000000000003,1,0.094212,1,0,1,Kepler,,,,,0.85,0.05,-0.06,0.81,0.07,-0.07,5403.0,58.96,-58.52,15.198,13.954,13.517000000000001,,,,0.228,0.02,-0.038,0.0223,,,,16.56059504,4.293e-05,-4.293e-05,,,
1846,Kepler-1397,b,2016,299.675859,47.075844000000004,,2455006.454,0.0128,-0.0128,1,0.44778999999999997,1,0,1,Kepler,,,,,1.09,0.04,-0.05,1.12,0.11,-0.08,6026.0,97.07,-95.81,14.089,12.849,12.517000000000001,,,,0.153,0.017,-0.012,0.0113,,,,47.449955,0.000752,-0.000752,,,
1847,Kepler-1398,b,2016,294.86618500000003,48.638985,,2454964.85216,0.00602,-0.00602,1,0.13858,2,0,1,Kepler,,,,,1.13,0.12,-0.08,1.18,0.37,-0.14,6126.0,115.41,-125.42,13.71,12.695,12.389000000000001,,,,0.08,0.025,-0.011000000000000001,0.0021,,,,2.78815679,2.021e-05,-2.021e-05,,,
1848,Kepler-1398,c,2016,294.86618500000003,48.638985,,2454966.22851,0.005379999999999999,-0.005379999999999999,1,0.14371,2,0,1,Kepler,,,,,1.13,0.12,-0.08,1.18,0.37,-0.14,6126.0,115.41,-125.42,13.71,12.695,12.389000000000001,,,,0.092,0.033,-0.013000000000000001,0.0034,,,,4.13827595,2.616e-05,-2.616e-05,,,
1849,Kepler-1399,b,2016,293.311681,46.041714,,2454965.28994,0.0052899999999999996,-0.0052899999999999996,1,0.08117,1,0,1,Kepler,,,,,0.97,0.06,-0.06,0.96,0.16,-0.08,5735.0,112.36,-112.34,15.49,14.295,13.91,,,,0.11199999999999999,0.02,-0.01,0.0066,,,,1.63865306,8.95e-06,-8.95e-06,,,
1850,Kepler-1400,b,2016,286.271652,45.440807,,2454967.75212,0.007370000000000001,-0.007370000000000001,1,0.12320999999999999,1,0,1,Kepler,,,,,0.83,0.03,-0.04,0.78,0.04,-0.03,5044.0,43.82,-45.77,15.737,14.26,13.775,,,,0.145,0.01,-0.01,0.0102,,,,9.06689421,6.982e-05,-6.982e-05,,,
1851,Kepler-1401,b,2016,287.466042,40.758452,,2454970.5046,0.00605,-0.00605,1,0.15775,1,0,1,Kepler,,,,,1.07,0.07,-0.06,1.1,0.23,-0.12,5964.0,104.96,-124.67,14.982000000000001,13.870999999999999,13.556,,,,0.15,0.033,-0.016,0.0109,,,,11.20066445,8.804e-05,-8.804e-05,,,
1852,Kepler-1402,b,2016,291.847824,48.968132000000004,,2454964.9169,0.00536,-0.00536,1,0.13337000000000002,1,0,1,Kepler,,,,,0.9,0.04,-0.04,0.87,0.08,-0.05,5416.0,64.99,-74.47,14.620999999999999,13.31,12.927,,,,0.068,0.006999999999999999,-0.006,0.00114,,,,2.03387914,1.415e-05,-1.415e-05,,,
1853,Kepler-1403,b,2016,290.867707,38.960119,,2454964.6228,0.0044,-0.0044,1,0.13117,1,0,1,Kepler,,,,,1.11,0.1,-0.07,1.15,0.29,-0.13,6060.0,144.25,-145.9,15.597999999999999,14.559000000000001,14.245,,,,0.191,0.048,-0.023,0.0164,,,,5.19492202,2.801e-05,-2.801e-05,,,
1854,Kepler-1404,b,2016,296.00943,50.498385999999996,,2454974.81135,0.00564,-0.00564,1,0.1129,1,0,1,Kepler,,,,,0.84,0.05,-0.05,0.8,0.05,-0.05,5261.0,99.17,-104.59,15.687999999999999,14.315,13.876,,,,0.179,0.012,-0.019,0.0148,,,,15.9314739,0.0001133,-0.0001133,,,
1855,Kepler-1405,b,2016,295.684842,39.256142,,2454974.49347,0.00432,-0.00432,1,0.23533,1,0,1,Kepler,,,,,1.05,0.08,-0.08,1.07,0.23,-0.12,5925.0,156.83,-211.16,15.873,14.583,14.212,,,,0.353,0.079,-0.04,0.0467,,,,28.2274184,0.0001392,-0.0001392,,,
1856,Kepler-1406,b,2016,292.081863,38.915023,,2454965.82038,0.00472,-0.00472,1,0.11857999999999999,1,0,1,Kepler,,,,,1.05,0.04,-0.04,1.12,0.18,-0.11,5892.0,61.02,-55.69,13.255999999999998,12.227,11.908,,,,0.098,0.016,-0.012,0.0043,,,,11.62905828,6.904e-05,-6.904e-05,,,
1857,Kepler-1407,b,2016,283.942432,41.4716,,2454969.93,0.0222,-0.0222,1,0.25571,1,0,1,Kepler,,,,,1.1,0.1,-0.08,1.15,0.27,-0.14,6010.0,158.66,-154.68,14.935,13.847999999999999,13.525,,,,0.201,0.047,-0.028999999999999998,0.0179,,,,20.0711504,0.0005453,-0.0005453,,,
1858,Kepler-1408,b,2016,282.69994199999996,45.42577,,2454964.76683,0.00719,-0.00719,1,0.183,1,0,1,Kepler,,,,,1.21,1.0,-0.1,1.35,104.53,-0.23,6170.0,99.15,-2360.24,12.003,10.975999999999999,10.735999999999999,,,,0.079,6.148,-0.013000000000000001,0.00201,,,,2.99793191,2.517e-05,-2.517e-05,,,
1859,Kepler-1409,b,2016,290.084786,51.208603000000004,,2454965.1307599996,0.00248,-0.00248,1,0.049079000000000005,1,0,1,Kepler,,,,,0.83,0.04,-0.04,0.79,0.04,-0.04,5160.0,76.61,-73.84,15.168,13.775,13.296,,,,0.09300000000000001,0.006999999999999999,-0.006,0.00352,,,,0.76486493,2.4e-06,-2.4e-06,,,
1860,Kepler-1410,b,2016,290.510198,38.743544,,2455012.28498,0.00688,-0.00688,1,0.1842,1,0,1,Kepler,,,,,0.63,0.04,-0.04,0.6,0.03,-0.04,4092.0,100.24,-77.85,15.757,13.585999999999999,12.905999999999999,0.2543,0.0043,-0.0038,0.159,0.011000000000000001,-0.012,0.012,,,290.0,60.866168,0.0005161,-0.0005161,,,
1861,Kepler-1411,b,2016,286.361579,42.963924,,2454967.8925,0.0113,-0.0113,1,0.2554,1,0,1,Kepler,,,,,0.95,0.05,-0.06,0.92,0.13,-0.07,5664.0,67.78,-68.48,15.831,14.686,14.334000000000001,,,,0.252,0.038,-0.021,0.0263,,,,86.1150888,0.0009728,-0.0009728,,,
1862,Kepler-1412,b,2016,292.18012000000004,49.20248,,2454966.09455,0.00533,-0.00533,1,0.13283,1,0,1,Kepler,,,,,1.06,0.05,-0.04,1.27,0.23,-0.18,5880.0,80.65,-68.91,13.219000000000001,12.145999999999999,11.834000000000001,,,,0.07400000000000001,0.013000000000000001,-0.012,0.00157,,,,3.6146051,2.139e-05,-2.139e-05,,,
1863,Kepler-1413,b,2016,294.341649,46.498767,,2454974.82502,0.0078,-0.0078,1,0.1515,1,0,1,Kepler,,,,,0.84,0.04,-0.05,0.8,0.05,-0.05,5196.0,117.54,-117.21,16.239,14.821,14.385,,,,0.162,0.013999999999999999,-0.013000000000000001,0.0125,,,,13.1829642,0.0001082,-0.0001082,,,
1864,Kepler-454,b,2015,287.478529,38.228866,0.042,,,,1,,2,0,1,Kepler,87.09,0.2,-0.2,,0.85,0.22,-0.22,1.05,0.07,-0.07,5701.0,34.0,-34.0,11.57,10.357000000000001,10.021,0.0954,0.0012,-0.0012,0.21,0.02,-0.02,0.02,0.0,0.0,,10.57,7e-08,-7e-08,0.0,,
1868,Kepler-1111,b,2016,295.463372,45.812744,,2454968.67717,0.00292,-0.00292,1,0.14160799999999998,1,0,1,Kepler,,,,,1.1,0.13,-0.09,1.15,0.31,-0.15,6077.0,143.77,-199.7,15.159,13.6,13.293,,,,0.17800000000000002,0.048,-0.023,0.0147,,,,8.79617863,2.97e-05,-2.97e-05,,,
1869,Kepler-1112,b,2016,296.968815,47.751488,,2454974.43634,0.00344,-0.00344,1,0.19272899999999998,1,0,1,Kepler,,,,,1.34,0.21,-0.13,1.54,0.65,-0.26,6496.0,147.03,-147.28,14.612,13.687999999999999,13.454,,,,0.26899999999999996,0.114,-0.046,0.0295,,,,14.36267939,5.701e-05,-5.701e-05,,,
1870,Kepler-1113,b,2016,289.406695,39.338834000000006,,2455001.77877,0.0036799999999999997,-0.0036799999999999997,1,0.18325,1,0,1,Kepler,,,,,1.12,0.13,-0.07,1.17,0.47,-0.14,5931.0,80.28,-109.5,14.765999999999998,13.552,13.292,,,,0.251,0.10099999999999999,-0.032,0.0261,,,,42.3004954,0.0002092,-0.0002092,,,
1871,Kepler-1114,b,2016,299.236933,45.834697999999996,,2454974.50172,0.0028399999999999996,-0.0028399999999999996,1,0.101287,1,0,1,Kepler,,,,,0.87,0.04,-0.04,0.83,0.04,-0.03,5374.0,87.46,-77.65,13.747,12.437999999999999,12.042,,,,0.12,0.006999999999999999,-0.006,0.007520000000000001,,,,14.97435694,5.221e-05,-5.221e-05,,,
1872,Kepler-1115,b,2016,294.991772,40.144409,,2454977.21245,0.00475,-0.00475,1,0.29829,1,0,1,Kepler,,,,,1.6,0.1,-0.1,1.73,0.29,-0.2,8480.0,295.98,-217.88,11.98,11.565999999999999,11.555,,,,0.152,0.026000000000000002,-0.018000000000000002,0.0111,,,,23.5540725,0.0001356,-0.0001356,,,
1873,Kepler-1116,b,2016,291.933655,44.115505,,2454967.24364,0.00386,-0.00386,1,0.22596,1,0,1,Kepler,,,,,0.95,0.05,-0.06,0.93,0.2,-0.08,5641.0,91.87,-133.14,15.265,13.974,13.645999999999999,,,,0.22699999999999998,0.048,-0.02,0.022,,,,41.6977827,0.0002004,-0.0002004,,,
1874,Kepler-1117,b,2016,292.08477999999997,49.23748,,2454967.95434,0.00324,-0.00324,1,0.113696,1,0,1,Kepler,,,,,0.95,0.04,-0.05,0.93,0.13,-0.06,5612.0,82.98,-101.57,14.102,12.867,12.512,,,,0.099,0.015,-0.006999999999999999,0.0044399999999999995,,,,4.79028459,1.86e-05,-1.86e-05,,,
1875,Kepler-1118,b,2016,299.965664,44.160896,,2454990.62071,0.00511,-0.00511,1,0.23196,1,0,1,Kepler,,,,,0.96,0.11,-0.08,0.97,0.17,-0.11,5688.0,303.78,-268.88,14.94,13.505,13.075999999999999,,,,0.244,0.054000000000000006,-0.038,0.025,,,,38.6715075,0.0002298,-0.0002298,,,
1876,Kepler-1119,b,2016,297.019131,44.327521999999995,,2454968.58682,0.00465,-0.00465,1,0.22429000000000002,1,0,1,Kepler,,,,,1.11,0.14,-0.11,1.17,0.38,-0.18,6083.0,177.4,-249.75,15.06,13.864,13.54,,,,0.171,0.055999999999999994,-0.027000000000000003,0.0137,,,,8.3265153,4.777e-05,-4.777e-05,,,
1877,Kepler-1120,b,2016,290.914483,42.286578999999996,,2454966.13641,0.0021,-0.0021,1,0.084971,1,0,1,Kepler,,,,,0.78,0.04,-0.04,0.74,0.03,-0.04,4904.0,70.02,-67.83,15.333,13.79,13.255999999999998,,,,0.12300000000000001,0.008,-0.006,0.0078,,,,2.94902905,7.47e-06,-7.47e-06,,,
1878,Kepler-1121,b,2016,297.786606,47.886127,,2454977.16108,0.00336,-0.00336,1,0.233479,1,0,1,Kepler,,,,,1.29,0.13,-0.09,1.59,0.4,-0.29,6231.0,90.24,-72.86,12.071,11.075999999999999,10.865,,,,0.17,0.043,-0.040999999999999995,0.0136,,,,13.15141081,5.864e-05,-5.864e-05,,,
1879,Kepler-1122,b,2016,288.280535,46.340903999999995,,2454988.3154700003,0.0057799999999999995,-0.0057799999999999995,1,0.29617,1,0,1,Kepler,,,,,0.92,0.04,-0.05,0.89,0.11,-0.06,5544.0,73.22,-72.56,15.06,13.872,13.517999999999999,,,,0.182,0.024,-0.012,0.0152,,,,42.1917357,0.0002996,-0.0002996,,,
1880,Kepler-1123,b,2016,294.517667,50.670398999999996,,2454965.80245,0.00218,-0.00218,1,0.095721,1,0,1,Kepler,,,,,0.93,0.04,-0.04,0.9,0.13,-0.06,5500.0,75.39,-90.52,14.822000000000001,13.527999999999999,13.154000000000002,,,,0.149,0.022000000000000002,-0.01,0.0108,,,,4.33946454,1.178e-05,-1.178e-05,,,
1881,Kepler-1124,b,2016,286.594273,37.891265999999995,,2454965.0443169996,0.000872,-0.000872,1,0.029419999999999998,1,0,1,Kepler,,,,,0.35,0.02,-0.02,0.34,0.02,-0.02,3658.0,33.4,-26.65,15.959000000000001,13.671,13.055,,,,0.114,0.011000000000000001,-0.006,0.00687,,,,2.85234897,3.03e-06,-3.03e-06,,,
1882,Kepler-1125,b,2016,295.481223,40.73198,,2454964.59796,0.00577,-0.00577,1,0.2405,1,0,1,Kepler,,,,,0.95,0.08,-0.07,0.94,0.15,-0.09,5683.0,241.45,-131.51,14.874,13.694,13.31,,,,0.16399999999999998,0.027000000000000003,-0.016,0.0127,,,,17.6700642,0.0001176,-0.0001176,,,
1883,Kepler-542,b,2016,292.21508900000003,38.548588,,2455007.8456099997,0.00232,-0.00232,1,0.14985,1,0,1,Kepler,,,,,0.93,0.04,-0.04,0.9,0.06,-0.04,5526.0,76.12,-59.55,13.435,12.21,11.854000000000001,,,,0.14,0.009000000000000001,-0.01,0.00972,,,,13.14497566,3.491e-05,-3.491e-05,,,
1884,Kepler-543,b,2016,287.218727,38.862513,,2455015.8652709997,0.0006259999999999999,-0.0006259999999999999,1,0.148471,1,0,1,Kepler,,,,,0.7,0.05,-0.04,0.67,0.03,-0.03,4671.0,85.64,-76.72,13.577,11.731,11.213,,,,0.223,0.011000000000000001,-0.023,0.0214,,,,13.89961966,1.102e-05,-1.102e-05,,,
1885,Kepler-544,b,2016,294.029098,39.051846000000005,,2455009.25123,0.0030399999999999997,-0.0030399999999999997,1,0.29536999999999997,1,0,1,Kepler,,,,,1.16,0.04,-0.04,1.22,0.11,-0.08,6206.0,68.1,-58.72,13.542,12.578,12.318,,,,0.18899999999999997,0.017,-0.012,0.0162,,,,21.41616926,8.095e-05,-8.095e-05,,,
1886,Kepler-148,d,2016,289.786216,46.858788,,2455003.081373,0.000399,-0.000399,1,0.19911700000000002,3,0,1,Kepler,,,,,,,,0.85,0.41,-0.41,5272.0,200.0,-200.0,15.342,13.902999999999999,13.527000000000001,,,,0.774,0.046,-0.037000000000000005,0.177,,,,51.84688575,2.57e-05,-2.57e-05,,,
1887,Kepler-545,b,2016,290.566303,40.692045,,2455012.52075,0.0012900000000000001,-0.0012900000000000001,1,0.185975,1,0,1,Kepler,,,,,1.04,0.04,-0.04,1.07,0.12,-0.08,5882.0,77.41,-64.41,14.15,13.074000000000002,12.776,,,,0.24,0.027000000000000003,-0.019,0.0242,,,,13.24934059,2.104e-05,-2.104e-05,,,
1888,Kepler-546,b,2016,283.257599,40.990497999999995,,2455003.326066,0.000171,-0.000171,1,0.12070399999999999,1,0,1,Kepler,,,,,1.11,0.11,-0.07,1.15,0.32,-0.13,5967.0,92.74,-130.13,14.288,13.073,12.782,,,,0.624,0.172,-0.069,0.123,,,,4.14702026,8.8e-07,-8.8e-07,,,
1889,Kepler-547,b,2016,286.118673,44.345279999999995,,2455007.084771,0.000207,-0.000207,1,0.092679,1,0,1,Kepler,,,,,0.78,0.03,-0.04,0.73,0.02,-0.04,4828.0,40.1,-46.81,14.247,12.588,12.107000000000001,,,,0.35700000000000004,0.012,-0.027999999999999997,0.0475,,,,6.01038429,1.57e-06,-1.57e-06,,,
1890,Kepler-548,b,2016,299.90591,45.439678,,2455005.820206,6.9e-05,-6.9e-05,1,0.09665800000000001,1,0,1,Kepler,,,,,0.93,0.09,-0.07,0.9,0.16,-0.08,5535.0,265.27,-230.38,14.995,13.581,13.148,,,,1.07,0.195,-0.098,,,,,4.45419434,3.8e-07,-3.8e-07,,,
1891,Kepler-549,b,2016,283.022789,47.261134999999996,,2454986.7376200003,0.00267,-0.00267,1,0.22278699999999999,2,0,1,Kepler,,,,,0.88,0.04,-0.05,0.84,0.07,-0.05,5360.0,66.88,-72.9,14.620999999999999,13.302999999999999,12.902999999999999,,,,0.22899999999999998,0.021,-0.015,0.03461,0.01321,-0.01007,,42.9495649,0.0001543,-0.0001543,,,
1892,Kepler-549,c,2016,283.022789,47.261134999999996,,2455078.6161599997,0.00908,-0.00908,1,0.35604,2,0,1,Kepler,,,,,0.88,0.04,-0.05,0.84,0.07,-0.05,5360.0,66.88,-72.9,14.620999999999999,13.302999999999999,12.902999999999999,,,,0.261,0.022000000000000002,-0.053,0.028,,,,117.040498,0.001777,-0.001777,,,
1893,Kepler-550,b,2016,297.70024,47.86375,,2455005.5286189998,0.000356,-0.000356,1,0.167713,1,0,1,Kepler,,,,,0.87,0.04,-0.05,0.83,0.06,-0.05,5322.0,98.03,-122.84,14.485999999999999,13.097000000000001,12.677,,,,0.39399999999999996,0.03,-0.024,0.0563,,,,8.60010411,4.25e-06,-4.25e-06,,,
1894,Kepler-551,b,2016,285.485043,48.054325,,2455012.404747,0.000797,-0.000797,1,0.114725,1,0,1,Kepler,,,,,0.65,0.03,-0.03,0.63,0.02,-0.02,4286.0,37.81,-34.92,14.897,12.991,12.369000000000002,,,,0.244,0.022000000000000002,-0.013000000000000001,0.0249,,,,12.3764661,1.298e-05,-1.298e-05,,,
1895,Kepler-552,b,2016,290.747687,48.242012,,2455007.350788,0.000433,-0.000433,1,0.09074199999999999,1,0,1,Kepler,,,,,1.03,0.06,-0.06,1.04,0.22,-0.1,5863.0,103.85,-100.72,14.279000000000002,13.198,12.877,,,,0.35200000000000004,0.073,-0.051,0.0465,,,,5.26341577,2.9e-06,-2.9e-06,,,
1896,Kepler-553,b,2016,298.550829,48.332454999999996,,2455004.092197,0.000317,-0.000317,1,0.11673299999999999,2,0,1,Kepler,,,,,0.92,0.03,-0.03,0.85,0.02,-0.02,5266.0,88.28,-74.44,14.924000000000001,13.578,13.161,,,,0.413,0.012,-0.016,0.0609,,,,4.03046804,1.64e-06,-1.64e-06,,,
1897,Kepler-553,c,2016,298.550829,48.332454999999996,,2455032.2041419996,0.0008550000000000001,-0.0008550000000000001,1,0.505296,2,0,1,Kepler,,,,,0.92,0.03,-0.03,0.85,0.02,-0.02,5266.0,88.28,-74.44,14.924000000000001,13.578,13.161,,,,0.9990000000000001,0.028999999999999998,-0.027999999999999997,,,,,328.2399546,0.0003646,-0.0003646,,,
1898,Kepler-154,d,2016,289.780522,49.89653,,2455011.94612,0.0010199999999999999,-0.0010199999999999999,1,0.227442,5,0,1,Kepler,,,,,,,,1.0,0.19,-0.19,5690.0,108.0,-108.0,14.534,13.389000000000001,13.089,,,,0.34299999999999997,0.028999999999999998,-0.021,0.0444,,,,20.54981883,2.572e-05,-2.572e-05,,,
1899,Kepler-154,e,2016,289.780522,49.89653,,2454967.65123,0.00262,-0.00262,1,0.121525,5,0,1,Kepler,,,,,,,,1.0,0.19,-0.19,5690.0,108.0,-108.0,14.534,13.389000000000001,13.089,,,,0.134,0.012,-0.011000000000000001,0.00899,,,,3.93276465,1.225e-05,-1.225e-05,,,
1900,Kepler-154,f,2016,289.780522,49.89653,,2454969.87656,0.0059299999999999995,-0.0059299999999999995,1,0.1767,5,0,1,Kepler,,,,,,,,1.0,0.19,-0.19,5690.0,108.0,-108.0,14.534,13.389000000000001,13.089,,,,0.134,0.03,-0.019,0.00899,,,,9.91935684,7.788e-05,-7.788e-05,,,
1901,Kepler-554,b,2016,296.40685299999996,51.358154,,2455003.44979,0.000174,-0.000174,1,0.09198880000000001,1,0,1,Kepler,,,,,0.93,0.04,-0.03,0.92,0.06,-0.04,5447.0,76.54,-66.56,14.312999999999999,13.043,12.654000000000002,,,,0.38299999999999995,0.024,-0.019,0.0535,,,,1.90220856,4.1e-07,-4.1e-07,,,
1902,Kepler-838,b,2016,285.435512,45.976021,,2454983.24542,0.00231,-0.00231,1,0.19559200000000002,1,0,1,Kepler,,,,,0.98,0.05,-0.06,0.96,0.13,-0.08,5770.0,68.34,-66.67,15.3,14.186,13.855,,,,0.244,0.045,-0.022000000000000002,0.0249,,,,15.74957994,4.687e-05,-4.687e-05,,,
1903,Kepler-839,b,2016,291.07467599999995,45.242584,,2454967.66702,0.00335,-0.00335,1,0.35743800000000003,1,0,1,Kepler,,,,,1.22,0.06,-0.05,1.31,0.21,-0.12,6058.0,87.66,-77.96,13.600999999999999,12.554,12.31,,,,0.22899999999999998,0.037000000000000005,-0.022000000000000002,0.0224,,,,37.8144514,0.0001545,-0.0001545,,,
1904,Kepler-840,b,2016,296.507394,49.457291,,2454968.337166,0.00016,-0.00016,1,0.1775996,1,0,1,Kepler,,,,,1.04,0.07,-0.07,1.06,0.24,-0.12,5920.0,113.64,-159.58,14.152000000000001,12.995999999999999,12.682,,,,1.5230000000000001,0.34600000000000003,-0.168,135.0,,,,2.49577962,4.8e-07,-4.8e-07,,,
1905,Kepler-841,b,2016,284.251306,48.809612,,2454983.59602,0.00183,-0.00183,1,0.15255,1,0,1,Kepler,,,,,0.85,0.04,-0.05,0.81,0.06,-0.06,5324.0,58.08,-58.03,15.74,14.464,14.04,,,,0.467,0.037000000000000005,-0.032,0.0749,,,,124.4198398,0.000331,-0.000331,,,
1906,Kepler-842,b,2016,292.328581,49.653538,,2454966.460111,0.000741,-0.000741,1,0.0653,1,0,1,Kepler,,,,,0.78,0.04,-0.04,0.73,0.03,-0.04,4848.0,60.94,-65.37,15.127,13.538,12.997,,,,0.14300000000000002,0.006999999999999999,-0.008,0.01,,,,1.21956827,1.1e-06,-1.1e-06,,,
1907,Kepler-843,b,2016,296.321994,48.971478000000005,,2454966.73495,0.00114,-0.00114,1,0.09087100000000001,1,0,1,Kepler,,,,,1.02,0.06,-0.06,1.03,0.24,-0.1,5830.0,106.99,-143.16,15.269,14.088,13.761,,,,0.231,0.054000000000000006,-0.022000000000000002,0.0227,,,,2.05387982,2.9e-06,-2.9e-06,,,
1908,Kepler-844,b,2016,287.857729,48.774113,,2454966.11227,0.00206,-0.00206,1,0.0804,1,0,1,Kepler,,,,,0.59,0.03,-0.04,0.57,0.03,-0.03,4128.0,46.09,-46.95,15.84,13.804,13.194,,,,0.15,0.006,-0.021,0.0109,,,,2.61302086,6.24e-06,-6.24e-06,,,
1909,Kepler-845,b,2016,290.957565,49.203812,,2454966.906037,0.0005200000000000001,-0.0005200000000000001,1,0.059992,1,0,1,Kepler,,,,,0.79,0.03,-0.04,0.75,0.03,-0.03,4913.0,57.49,-57.47,14.630999999999998,13.094000000000001,12.567,,,,0.182,0.008,-0.026000000000000002,0.0152,,,,0.92785982,5.5e-07,-5.5e-07,,,
