,pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2
157,Kepler-150,e,2014,288.234084,40.520905,,2454986.01043,0.00373,-0.00373,1,0.2273,5,0,1,Kepler,,,,,,,,0.94,0.14,-0.14,5560.0,100.0,-100.0,14.985,13.817,13.422,0.189,,,0.278,0.049,-0.049,0.0312,,,,30.826557,0.000199,-0.000199,,,
158,Kepler-151,b,2014,292.162778,41.023235,,2455009.5597900003,0.0011,-0.0011,1,0.1102,2,0,1,Kepler,,,,,,,,0.83,0.41,-0.41,5460.0,200.0,-200.0,14.769,13.383,12.998,0.116,,,0.273,0.136,-0.136,0.0302,,,,15.228958,3e-05,-3e-05,,,
159,Kepler-151,c,2014,292.162778,41.023235,,2454979.77073,0.0026,-0.0026,1,0.1256,2,0,1,Kepler,,,,,,,,0.83,0.41,-0.41,5460.0,200.0,-200.0,14.769,13.383,12.998,0.16,,,0.18600000000000003,0.09300000000000001,-0.09300000000000001,0.0158,,,,24.674612,0.000106,-0.000106,,,
160,Kepler-152,b,2014,286.865479,41.989086,,2455018.84202,0.0006900000000000001,-0.0006900000000000001,1,0.1565,2,0,1,Kepler,,,,,,,,0.72,0.04,-0.04,5088.0,100.0,-100.0,14.29,12.853,12.488,0.124,,,0.249,0.015,-0.015,0.0258,,,,18.207973,2.3e-05,-2.3e-05,,,
161,Kepler-152,c,2014,286.865479,41.989086,,2454986.78027,0.00195,-0.00195,1,0.1682,2,0,1,Kepler,,,,,,,,0.72,0.04,-0.04,5088.0,100.0,-100.0,14.29,12.853,12.488,0.356,,,0.213,0.013999999999999999,-0.013999999999999999,0.0198,,,,88.255055,0.000309,-0.000309,,,
162,Kepler-153,b,2014,282.460522,48.257118,,2455011.7104599997,0.00116,-0.00116,1,0.1281,2,0,1,Kepler,,,,,,,,0.89,0.54,-0.54,5404.0,200.0,-200.0,14.262,12.945,12.482999999999999,0.129,,,0.261,0.157,-0.157,0.0279,,,,18.870227,3.9e-05,-3.9e-05,,,
163,Kepler-153,c,2014,282.460522,48.257118,,2454987.3065299997,0.00266,-0.00266,1,0.1594,2,0,1,Kepler,,,,,,,,0.89,0.54,-0.54,5404.0,200.0,-200.0,14.262,12.945,12.482999999999999,0.237,,,0.226,0.136,-0.136,0.0218,,,,46.90232,0.000215,-0.000215,,,
164,Kepler-154,b,2014,289.780522,49.89653,,2454994.22087,0.0042899999999999995,-0.0042899999999999995,1,0.1398,5,0,1,Kepler,,,,,,,,1.0,0.19,-0.19,5690.0,108.0,-108.0,14.534,13.389000000000001,13.089,0.198,,,0.20199999999999999,0.039,-0.039,0.018,,,,33.040532,0.000215,-0.000215,,,
165,Kepler-154,c,2014,289.780522,49.89653,,2455012.09423,0.00385,-0.00385,1,0.3129,5,0,1,Kepler,,,,,,,,1.0,0.19,-0.19,5690.0,108.0,-108.0,14.534,13.389000000000001,13.089,0.303,,,0.263,0.055,-0.055,0.0283,,,,62.303276,0.000406,-0.000406,,,
166,Kepler-155,b,2014,288.495833,51.081947,,2455007.79655,0.00074,-0.00074,1,0.0988,2,0,1,Kepler,,,,,,,,0.62,0.03,-0.03,4508.0,100.0,-100.0,14.258,12.533,11.888,0.056,,,0.18600000000000003,0.019,-0.019,0.0158,,,614.0,5.931194,8e-06,-8e-06,,,
167,Kepler-155,c,2014,288.495833,51.081947,,2455016.51681,0.00237,-0.00237,1,0.1328,2,0,1,Kepler,,,,,,,,0.62,0.03,-0.03,4508.0,100.0,-100.0,14.258,12.533,11.888,0.242,,,0.2,0.013000000000000001,-0.013000000000000001,0.0178,,,286.0,52.661793,0.000236,-0.000236,,,
168,Kepler-156,b,2014,290.296515,37.74949,,2455003.88529,0.0008900000000000001,-0.0008900000000000001,1,0.0658,2,0,1,Kepler,,,,,,,,0.81,0.05,-0.05,5094.0,100.0,-100.0,14.172,12.735,12.255,0.054,,,0.205,0.015,-0.015,0.0186,,,,4.973456,8e-06,-8e-06,,,
169,Kepler-156,c,2014,290.296515,37.74949,,2455010.93315,0.0015400000000000001,-0.0015400000000000001,1,0.166,2,0,1,Kepler,,,,,,,,0.81,0.05,-0.05,5094.0,100.0,-100.0,14.172,12.735,12.255,0.117,,,0.22699999999999998,0.017,-0.017,0.0221,,,,15.906801,4.5e-05,-4.5e-05,,,
