,0
1350,146366126
1351,435339811
1352,415389400
1353,348662946
1354,366622645
1355,243015181
1356,38143437
1357,173102172
1358,392169298
1359,345457432
1360,348721880
1361,468987992
1362,7024848
1363,6992109
1364,49462693
1365,240812169
1366,458655818
1367,392456948
1368,350516166
1369,386588992
1370,437896984
1371,385814483
1372,385817387
1373,438117485
1374,438212157
1375,438206908
1376,438208994
1377,438314886
1378,438367677
1379,306607242
1380,307475931
1381,307584118
1382,308062110
1383,308255301
1384,438496687
1385,438511787
1386,337262779
1387,155139661
1388,387143132
1389,155313405
1390,62903360
1391,240812195
1392,38114139
1393,240810353
1394,49456043
1395,6951741
1396,38160957
1397,59085096
1398,38142107
1399,49522763
1400,68405464
1401,173163028
1402,49456015
1403,12819863
1404,69817728
1405,240628973
1406,38138443
1407,27654229
1408,37696241
1409,291066940
1410,38138601
1411,240812203
1412,38161072
1413,173165434
1414,240849760
1415,284851903
1416,366354513
1417,173109348
1418,49426992
1419,82054878
1420,415331691
1421,242944666
1422,49416899
1423,240716299
1424,38114035
1425,173165485
1426,439856740
1427,388994156
1428,468988516
1429,188580404
1430,366355483
1431,366499744
1432,69766754
1433,173109439
1434,311151441
1435,38160860
1436,12784722
1437,38086462
1438,69857702
1439,60255890
1440,38160673
1441,435310251
1442,38139406
1443,38212254
1444,388978263
1445,173145716
1446,240764914
1447,240766760
1448,284852066
1449,188573247
1450,173097214
1451,350475588
1452,240765097
1453,366526450
1454,443970828
1455,240850753
1456,242991831
1457,173165769
1458,458685748
1459,437030367
1460,350475580
1461,348663268
1462,434237769
1463,366443862
1464,111752192
1465,435906071
1466,6951248
1467,69839187
1468,188544034
1469,415389301
1470,242988917
1471,366631473
1472,468988910
1473,366355112
1474,396734166
1475,291108658
1476,434134950
1477,38131287
1478,434160407
1479,389019268
1480,53207408
1481,27682801
1482,389051506
1483,49427304
1484,443586439
1485,12822042
1486,188543806
1487,173108616
1488,443616801
1489,240764951
1490,435880195
1491,443617951
1492,396733861
1493,458681697
1494,300975763
1495,145962281
1496,38159967
1497,366657339
1498,380166410
1499,38064592
1500,38064605
1501,336877296
1502,336995032
1503,337079198
1504,294219741
1505,294220153
1506,434303916
1507,434328368
1508,434397214
1509,437901497
1510,438055377
1511,385754359
1512,385815964
1513,385904956
1514,438068671
1515,438105325
1516,438118631
1517,438152874
1518,438227503
1519,438226023
1520,438322068
1521,438321157
1522,438400860
1523,385991879
1524,385989048
1525,307131897
1526,307128745
1527,307475001
1528,307474011
1529,308250471
1530,438488297
1531,445937827
1532,155096087
1533,155460101
1534,38142106
1535,173104646
1536,49456238
1537,7025148
1538,173108653
1539,392457167
1540,425465537
1541,348662903
1542,348662904
1543,49504458
1544,146366077
1545,240765065
1546,435339722
1547,389009869
1548,49427339
1549,188569903
1550,443969860
1551,402313624
1552,396742703
1553,443583747
1554,38114111
1555,146801015
1556,38159655
1557,49416908
1558,82049669
1559,396742972
1560,49426800
1561,311148869
1562,366631995
1563,38139145
1564,242968837
1565,49464590
1566,348662265
1567,12822403
1568,60285388
1569,12822046
1570,58959906
1571,240810378
1572,435336120
1573,435882314
1574,337645866
1575,396742583
1576,240851186
1577,62905373
1578,82054762
1579,435880660
1580,38086758
1581,240623332
1582,435336632
1583,242884021
1584,443609244
1585,49419224
1586,38085719
1587,435910897
1588,53207493
1589,66923134
1590,434226168
1591,366444362
1592,366444584
1593,396742896
1594,173145117
1595,49464462
1596,173102388
1597,38141894
1598,458682526
1599,291090170
1600,12857832
1601,173103977
1602,12773116
1603,38212310
1604,38064646
1605,243016105
1606,12858364
1607,205651647
1608,240849796
1609,38159700
1610,49418922
1611,291067432
1612,38205093
1613,12857884
1614,146800985
1615,366443617
1616,173104337
