EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
201243638,170.744468,-3.306095,9.893,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,5059,3.57,-0.285,2.82,1.11
201244712,170.894885,-3.289418,8.761,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4641,2.58,0.009,9.86,1.33
201250998,169.502056,-3.192608,9.927,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4371,1.49,-0.681,27.67,0.93
201260990,171.2321,-3.042492,9.867,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4942,3.34,-0.165,3.85,1.24
201265590,171.446186,-2.971061,9.861,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4454,2.21,-0.107,13.61,1.21
201270464,170.13348,-2.898169,9.392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,7456,3.86,0.028,2.58,1.94
201277617,169.848695,-2.789297,9.749,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4763,2.44,-0.256,10.87,1.18
201292886,169.456042,-2.556131,9.009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6297,4.02,-0.004,1.9,1.38
201366465,167.165407,-1.463207,9.578,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6035,4.1,-0.062,1.46,1.15
201371239,167.83044,-1.394597,7.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4654,2.81,-0.034,7.1,1.29
201437341,163.176068,-0.400715,9.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,0,240.3,4817,3.38,0.103,3.76,1.33
201439215,163.000287,-0.372868,9.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,0,334.7,5251,3.24,-1.09,3.66,0.88
201447508,162.568439,-0.25439,9.727,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,0,638.2,4689,2.5,-0.023,11.22,1.44
201454088,163.011268,-0.160575,9.912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,0,48.36,4991,4.63,-0.44,0.67,0.7
201475710,163.217983,0.156199,9.582,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,0,96.52,5658,4.41,-0.055,0.99,0.99
201488786,162.557873,0.354343,9.201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,0,479.8,4545,2.15,-0.416,15.12,1.08
201495451,163.676172,0.4546,9.716,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,0,598.8,4671,2.51,-0.03,11.14,1.42
201509939,162.799257,0.674933,9.484,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,0,168,5925,3.89,-0.083,1.89,1.18
201908756,177.464987,7.507583,8.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,STAR,1,0,NA,6175,4.33,-0.079,1.19,1.14
201913290,178.196869,7.604032,9.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,STAR,1,0,NA,5588,3.92,-0.197,1.86,1.04
202059310,92.185,17.40167,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202059318,92.43428,16.49388,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202059330,93.74127,16.81958,8.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202059360,96.23357,14.40689,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202059416,102.71083,16.23806,9.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202059422,103.3651,16.10553,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202060130,95.72081,14.51055,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202060164,103.275,16.15,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202060168,96.29629,14.8732,9.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202060369,96.20446,15.81745,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202060378,96.29147,16.10741,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202060408,101.5841,15.3844,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202060425,96.47009,15.62344,9.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202060428,101.24615,16.9327,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202062419,95.36542,17.29463,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA
