EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
211383343,127.847946,11.377755,18.951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,NA,NA,NA,NA,NA
211387162,129.670274,11.437829,18.768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,NA,NA,NA,NA,NA
211387162,129.67027,11.437829,18.768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,NA,NA,NA,NA,NA
211391664,126.488289,11.511145,12.102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,490.6,NA,NA,NA,NA,NA
211391664,126.48829,11.511145,12.102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,490.6,NA,NA,NA,NA,NA
211392098,126.325005,11.518413,14.337,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
211392098,126.325003,11.518413,14.337,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
211392382,129.961633,11.522669,8.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,18.14,NA,NA,NA,NA,NA
211392382,129.96164,11.522669,8.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,18.14,NA,NA,NA,NA,NA
211399359,128.06714,11.630727,14.424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,494.7,NA,NA,NA,NA,NA
211399359,128.067142,11.630727,14.424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,494.7,NA,NA,NA,NA,NA
211400847,131.19588,11.652843,16.432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,3729,4.98,-0.286,0.28,0.29
211400847,131.195875,11.652843,16.432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,3729,4.98,-0.286,0.28,0.29
211401138,132.28027,11.657119,17.084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,NA,NA,NA,NA,NA
211401138,132.280276,11.657119,17.084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,NA,NA,NA,NA,NA
211401787,126.896955,11.667474,9.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,163.4,NA,NA,NA,NA,NA
211401787,126.89696000000001,11.667474,9.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,163.4,NA,NA,NA,NA,NA
211410664,126.286908,11.802441,14.28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,6063,4.29,-0.356,1.16,0.98
211410664,126.28691,11.802441,14.28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,6063,4.29,-0.356,1.16,0.98
211413463,128.914889,11.843622,17.303,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,738.7,NA,NA,NA,NA,NA
211413463,128.91489,11.843622,17.303,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,738.7,NA,NA,NA,NA,NA
211418729,127.882962,11.922265,14.286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,480.2,NA,NA,NA,NA,NA
211418729,127.882965,11.922265,14.286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,480.2,NA,NA,NA,NA,NA
211428897,128.85754,12.075844,13.205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,36.47,NA,NA,NA,NA,NA
211428897,128.857549,12.075844,13.205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,36.47,NA,NA,NA,NA,NA
211442297,126.553444,12.281936,13.192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,528.7,NA,NA,NA,NA,NA
211442571,126.342592,12.286003,12.815,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,494.6,NA,NA,NA,NA,NA
211442571,126.34259,12.286003,12.815,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,494.6,NA,NA,NA,NA,NA
211491918,123.64964,13.022828,8.74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,18.84,NA,NA,NA,NA,NA
211491918,123.649641,13.022828,8.74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,18.84,NA,NA,NA,NA,NA
211511906,123.031815,13.306796,19.188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,NA,NA,NA,NA,NA
211511906,123.031814,13.306796,19.188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,NA,NA,NA,NA,NA
211525139,123.43113,13.494014,19.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
212168788,135.081229,23.457786,18.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,STAR,1,1,NA,NA,NA,NA,NA,NA
212169533,134.43175,23.475925,19.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
212169533,134.431744,23.475926,19.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
212204284,131.549977,24.41959,15.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,STAR,1,1,NA,NA,NA,NA,NA,NA
212212793,132.907585,24.697301,14.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,STAR,1,1,NA,NA,NA,NA,NA,NA
212291429,205.21135,-17.792671,7.837,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STAR,1,1,NA,6608,4.2,0.004,1.52,1.36
212292519,203.192246,-17.759075,8.633,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STAR,1,1,NA,6235,3.84,0.022,2.27,1.5
212300977,203.758102,-17.50355,11.738,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STAR,1,1,NA,5989,4.38,-0.02,1.08,1.08
212305951,203.6091,-17.351202,9.006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STAR,1,1,NA,5857,4,0.101,1.77,1.23
