EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7
201238749,169.066853,-3.380147,16.87,0,0,0,0,0,0,0
201167146,173.654304,-4.887316,16.87,0,0,0,0,0,0,0
201902486,177.959234,7.377429,16.87,0,0,0,0,0,0,0
201216855,170.920548,-3.715255,16.868,0,0,0,0,0,0,0
201156876,176.596161,-5.131581,16.868,0,0,0,0,0,0,0
201158404,176.675915,-5.095099,16.868,0,0,0,0,0,0,0
205924452,336.993589,-17.256662,16.866,0,1,0,0,0,0,0
201205589,172.685984,-3.972902,16.864,0,0,0,0,0,0,0
201145635,175.964525,-5.398611,16.862,0,0,0,0,0,0,0
210380238,61.357282,13.000444,16.862,0,0,0,0,1,0,0
211360966,127.952186,11.00508,16.862,0,0,0,0,0,0,1
211383482,131.874182,11.380167,16.862,0,0,0,0,0,0,1
206011511,342.563047,-14.494062,16.861,0,1,0,0,0,0,0
211490980,126.522499,13.009359,16.858,0,0,0,0,0,0,1
201293791,169.333188,-2.5426,16.857,0,0,0,0,0,0,0
201243907,169.943832,-3.301528,16.856,0,0,0,0,0,0,0
201268019,171.339123,-2.935124,16.856,0,0,0,0,0,0,0
201208060,173.154814,-3.914338,16.856,0,0,0,0,0,0,0
201262875,170.809612,-3.013274,16.855,0,0,0,0,0,0,0
211397837,132.449329,11.607522,16.855,0,0,0,0,0,0,1
210428037,60.767023,14.08522,16.854,0,0,0,0,1,0,0
211408248,126.08591,11.766872,16.853,0,0,0,0,0,0,1
201923899,176.985574,7.840068,16.852,0,0,0,0,0,0,0
210465375,63.027908,14.807069,16.85,0,0,0,0,1,0,0
211394834,128.952985,11.562191,16.85,0,0,0,0,0,0,1
211387764,130.623024,11.447387,16.85,0,0,0,0,0,0,1
201152122,173.416045,-5.245845,16.849,0,0,0,0,0,0,0
201124666,176.368878,-5.918738,16.849,0,0,0,0,0,0,0
205955205,341.287047,-16.20129,16.849,0,1,0,0,0,0,0
205951504,339.639325,-16.320965,16.848,0,1,0,0,0,0,0
210376593,60.677657,12.911308,16.848,0,0,0,0,1,0,0
201236310,170.568836,-3.417598,16.847,0,0,0,0,0,0,0
201927179,176.766167,7.913771,16.847,0,0,0,0,0,0,0
201174877,173.185048,-4.699946,16.846,0,0,0,0,0,0,0
201182858,170.235488,-4.508985,16.845,0,0,0,0,0,0,0
201276841,169.24965,-2.800707,16.844,0,0,0,0,0,0,0
211325337,128.944166,10.357839,16.844,0,0,0,0,0,0,1
201201605,172.861433,-4.066162,16.843,0,0,0,0,0,0,0
211336767,131.826164,10.572948,16.843,0,0,0,0,0,0,1
201345437,168.498802,-1.774779,16.839,0,0,0,0,0,0,0
211490371,126.996879,13.000185,16.839,0,0,0,0,0,0,1
211308898,129.229818,10.029706,16.839,0,0,0,0,0,0,1
201182353,174.016702,-4.520247,16.838,0,0,0,0,0,0,0
201148099,176.777833,-5.339347,16.838,0,0,0,0,0,0,0
211435864,130.0118,12.183596,16.838,0,0,0,0,0,0,1
201159946,173.711782,-5.057913,16.837,0,0,0,0,0,0,0
201291574,170.137259,-2.575455,16.836,0,0,0,0,0,0,0
210390044,59.068453,13.232966,16.835,0,0,0,0,1,0,0
205961849,341.122838,-15.984858,16.834,0,1,0,0,0,0,0
201150635,176.681274,-5.280983,16.833,0,0,0,0,0,0,0
201181154,169.215472,-4.548498,16.832,0,0,0,0,0,0,0
201142802,175.823787,-5.469812,16.832,0,0,0,0,0,0,0
210431975,64.353864,14.169229,16.83,0,0,0,0,1,0,0
201208433,173.288957,-3.905508,16.829,0,0,0,0,0,0,0
210360901,60.066054,12.51487,16.829,0,0,0,0,1,0,0
211389501,126.119143,11.474874,16.828,0,0,0,0,0,0,1
211438345,127.993214,12.221401,16.828,0,0,0,0,0,0,1
201168922,170.659025,-4.842792,16.826,0,0,0,0,0,0,0
201186648,172.254907,-4.41817,16.826,0,0,0,0,0,0,0
211496324,124.359936,13.087921,16.826,0,0,0,0,0,0,1
211361699,126.751045,11.017818,16.825,0,0,0,0,0,0,1
201174741,170.332527,-4.703278,16.823,0,0,0,0,0,0,0
211332955,128.88666,10.501621,16.823,0,0,0,0,0,0,1
210358349,58.429789,12.448717,16.822,0,0,0,0,1,0,0
201141091,175.584572,-5.512177,16.82,0,0,0,0,0,0,0
211346083,131.279322,10.742337,16.818,0,0,0,0,0,0,1
201221731,172.749477,-3.634314,16.815,0,0,0,0,0,0,0
201149246,173.243607,-5.31262,16.815,0,0,0,0,0,0,0
201149456,173.646321,-5.307832,16.815,0,0,0,0,0,0,0
210387406,54.613387,13.171783,16.815,0,0,0,0,1,0,0
211404816,127.709373,11.715345,16.814,0,0,0,0,0,0,1
201136593,175.850452,-5.622966,16.812,0,0,0,0,0,0,0
211400604,128.958735,11.649489,16.812,0,0,0,0,0,0,1
201150492,175.057032,-5.283741,16.811,0,0,0,0,0,0,0
201211550,169.371763,-3.831302,16.81,0,0,0,0,0,0,0
205973499,339.099377,-15.617896,16.81,0,1,0,0,0,0,0
211392806,126.989419,11.530014,16.81,0,0,0,0,0,0,1
211306726,129.427391,9.98595,16.81,0,0,0,0,0,0,1
201261407,171.498959,-3.035652,16.808,0,0,0,0,0,0,0
205951794,341.278617,-16.312016,16.806,0,1,0,0,0,0,0
206558760,335.562529,-3.581139,16.805,0,0,0,0,0,0,0
210379214,54.992989,12.976063,16.805,0,0,0,0,1,0,0
201196922,169.603471,-4.175003,16.804,0,0,0,0,0,0,0
201176594,170.639018,-4.658302,16.803,0,0,0,0,0,0,0
201149963,173.648977,-5.295557,16.803,0,0,0,0,0,0,0
211393160,129.630837,11.535908,16.803,0,0,0,0,0,0,1
211349910,130.602135,10.812542,16.803,0,0,0,0,0,0,1
210474101,64.090372,14.967101,16.802,0,0,0,0,1,0,0
211398111,127.652155,11.611628,16.802,0,0,0,0,0,0,1
202065311,102.22159,15.68751,16.8,0,0,0,0,0,1,0
212235343,338.578033,-18.093161,16.8,0,1,0,0,0,0,0
210422025,64.285249,13.95986,16.8,0,0,0,0,1,0,0
201400358,166.752043,-0.957115,16.799,0,0,0,0,0,0,0
205993219,342.770465,-15.018758,16.798,0,1,0,0,0,0,0
206026355,343.823573,-14.064681,16.797,0,1,0,0,0,0,0
210457322,62.315594,14.659864,16.797,0,0,0,0,1,0,0
210409820,61.626953,13.690526,16.796,0,0,0,0,1,0,0
211330694,127.707424,10.459094,16.796,0,0,0,0,0,0,1
201353547,167.998892,-1.652476,16.795,0,0,0,0,0,0,0
201245233,171.316285,-3.281809,16.793,0,0,0,0,0,0,0
201166145,170.229303,-4.911579,16.792,0,0,0,0,0,0,0
201381041,166.650508,-1.246998,16.791,0,0,0,0,0,0,0
201203389,171.168368,-4.024589,16.791,0,0,0,0,0,0,0
210385971,54.844949,13.137816,16.791,0,0,0,0,1,0,0
201918651,177.634518,7.722739,16.79,0,0,0,0,0,0,0
211369705,132.031219,11.154459,16.79,0,0,0,0,0,0,1
210380136,58.274586,12.998064,16.789,0,0,0,0,1,0,0
205953440,339.594723,-16.258308,16.787,0,1,0,0,0,0,0
206001234,343.019492,-14.789742,16.787,0,1,0,0,0,0,0
201270635,169.582387,-2.895415,16.786,0,0,0,0,0,0,0
201210516,173.286854,-3.855272,16.786,0,0,0,0,0,0,0
201200301,173.293525,-4.096016,16.785,0,0,0,0,0,0,0
211530685,123.304604,13.572524,16.785,0,0,0,0,0,0,1
211411197,127.419211,11.809992,16.785,0,0,0,0,0,0,1
201174291,170.314324,-4.713403,16.784,0,0,0,0,0,0,0
201156820,173.480128,-5.132906,16.784,0,0,0,0,0,0,0
211336576,129.229996,10.569929,16.781,0,0,0,0,0,0,1
210387767,59.361385,13.179644,16.78,0,0,0,0,1,0,0
201225541,171.206559,-3.576973,16.779,0,0,0,0,0,0,0
201221495,171.930334,-3.638051,16.779,0,0,0,0,0,0,0
211339527,128.057966,10.622503,16.779,0,0,0,0,0,0,1
211405440,130.615502,11.72429,16.779,0,0,0,0,0,0,1
211351873,132.284449,10.84837,16.779,0,0,0,0,0,0,1
211387815,127.898558,11.448024,16.778,0,0,0,0,0,0,1
201135594,175.913064,-5.648394,16.777,0,0,0,0,0,0,0
201390096,166.929119,-1.110539,16.776,0,0,0,0,0,0,0
210382177,54.281522,13.046254,16.776,0,0,0,0,1,0,0
201194410,174.782936,-4.232719,16.775,0,0,0,0,0,0,0
205994343,339.947813,-14.987107,16.775,0,1,0,0,0,0,0
210363300,58.993079,12.576936,16.775,0,0,0,0,1,0,0
210398806,61.651205,13.439219,16.775,0,0,0,0,1,0,0
201369307,166.672766,-1.422149,16.774,0,0,0,0,0,0,0
210412981,59.539096,13.760826,16.773,0,0,0,0,1,0,0
201132732,176.728341,-5.720573,16.772,0,0,0,0,0,0,0
205967156,340.531893,-15.81895,16.772,0,1,0,0,0,0,0
201925461,176.832318,7.874762,16.771,0,0,0,0,0,0,0
211524371,123.961507,13.482809,16.77,0,0,0,0,0,0,1
211418707,130.167596,11.922058,16.77,0,0,0,0,0,0,1
201159893,173.484716,-5.059053,16.768,0,0,0,0,0,0,0
210348130,58.341682,12.169607,16.768,0,0,0,0,1,0,0
201396753,166.846384,-1.010936,16.767,0,0,0,0,0,0,0
210413312,57.265914,13.767492,16.765,0,0,0,0,1,0,0
211380766,129.3056,11.334787,16.765,0,0,0,0,0,0,1
201269867,171.484491,-2.90735,16.763,0,0,0,0,0,0,0
210396555,61.226368,13.386858,16.763,0,0,0,0,1,0,0
210403286,64.297876,13.54391,16.763,0,0,0,0,1,0,0
201267664,171.262784,-2.94031,16.762,0,0,0,0,0,0,0
206557027,335.559022,-3.625475,16.761,0,0,0,0,0,0,0
201259151,169.893309,-3.070101,16.76,0,0,0,0,0,0,0
201152820,172.007289,-5.228563,16.759,0,0,0,0,0,0,0
201405113,166.6324,-0.881219,16.758,0,0,0,0,0,0,0
201214058,169.435393,-3.770569,16.758,0,0,0,0,0,0,0
210362637,58.095667,12.559918,16.757,0,0,0,0,1,0,0
206556238,335.436959,-3.645355,16.755,0,0,0,0,0,0,0
211391216,126.180449,11.503598,16.755,0,0,0,0,0,0,1
205988308,339.965138,-15.167503,16.754,0,1,0,0,0,0,0
201245093,169.248072,-3.284015,16.753,0,0,0,0,0,0,0
201186806,173.104585,-4.41445,16.753,0,0,0,0,0,0,0
201225781,171.285054,-3.573711,16.752,0,0,0,0,0,0,0
205939330,338.200697,-16.728357,16.752,0,1,0,0,0,0,0
211483096,125.415998,12.894022,16.751,0,0,0,0,0,0,1
211383952,128.959469,11.387404,16.75,0,0,0,0,0,0,1
201154337,174.786854,-5.192463,16.748,0,0,0,0,0,0,0
201235572,170.697007,-3.428657,16.747,0,0,0,0,0,0,0
211342162,126.49583,10.670868,16.746,0,0,0,0,0,0,1
201165790,174.812852,-4.919389,16.744,0,0,0,0,0,0,0
