EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,fullname,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_k2flag,ra.x,dec.x,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_msinie,pl_rade,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,rowupdate,epic_host,k2_campaign_str,k2_name,k2_kepmag,tm_designation,ra.y,dec.y
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 c,HIP 41378,c,Transit,5,31.6978,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,2.56,NA,NA,0.53,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 c,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 d,HIP 41378,d,Transit,5,156,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,3.96,NA,0.5295833,0.5,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 d,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 f,HIP 41378,f,Transit,5,324,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,10.2,NA,0.7915833,0.227,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 f,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 b,HIP 41378,b,Transit,5,15.5712,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,2.9,NA,NA,0.55,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 b,9.128,2MASS J08262784+1004493,126.616043,10.080378
211319617,126.463933,10.246968,12.393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-180 b,K2-180,b,Transit,1,8.867209,0.0753,NA,1,126.463936,10.246968,204.51,12.601,V (Johnson),12.404,5358,0.72,0.72,0,731,NA,NA,NA,2.31,NA,NA,0.42,2018,3,205.09,NA,4.58,-0.54,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211319617,5,K2-180 b,12.393,2MASS J08255135+1014491,126.463936,10.246968
211319617,126.463936,10.246968,12.393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-180 b,K2-180,b,Transit,1,8.867209,0.0753,NA,1,126.463936,10.246968,204.51,12.601,V (Johnson),12.404,5358,0.72,0.72,0,731,NA,NA,NA,2.31,NA,NA,0.42,2018,3,205.09,NA,4.58,-0.54,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211319617,5,K2-180 b,12.393,2MASS J08255135+1014491,126.463936,10.246968
211351816,127.762836,10.847586,12.409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-97 b,K2-97,b,Transit,1,8.406726,0.086,NA,1,127.762833,10.847586,869.76,12.611,V (Johnson),12.306,4717,1.2,4.47,0,1499,NA,NA,NA,10.61,NA,NA,0.44,2016,3,901.49,NA,3.22,0.33,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211351816,5,K2-97 b,12.409,2MASS J08310308+1050513,127.762833,10.847586
211351816,127.76283,10.847586,12.409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-97 b,K2-97,b,Transit,1,8.406726,0.086,NA,1,127.762833,10.847586,869.76,12.611,V (Johnson),12.306,4717,1.2,4.47,0,1499,NA,NA,NA,10.61,NA,NA,0.44,2016,3,901.49,NA,3.22,0.33,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211351816,5,K2-97 b,12.409,2MASS J08310308+1050513,127.762833,10.847586
211355342,127.55403,10.910294,12.637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-181 b,K2-181,b,Transit,1,6.894256,0.0706,NA,1,127.554031,10.910294,364.82,12.749,V (Johnson),12.562,5608,0.99,1.07,0,962,NA,NA,NA,2.84,NA,NA,0.43,2018,3,364.64,NA,4.38,0.23,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211355342,5,K2-181 b,12.637,2MASS J08301297+1054371,127.554031,10.910294
211355342,127.554034,10.910294,12.637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-181 b,K2-181,b,Transit,1,6.894256,0.0706,NA,1,127.554031,10.910294,364.82,12.749,V (Johnson),12.562,5608,0.99,1.07,0,962,NA,NA,NA,2.84,NA,NA,0.43,2018,3,364.64,NA,4.38,0.23,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211355342,5,K2-181 b,12.637,2MASS J08301297+1054371,127.554031,10.910294
