EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,epic_name,tm_name,epic_candname,pl_name,k2c_disp,ra,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_rade,st_teff,st_logg
211383821,131.041354,11.385502,14.044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211383821,2MASS J08440991+1123078,EPIC 211383821.01,NA,CANDIDATE,131.041351,11.385502,1.56706496,2457143.288349,0.049,0.0893333,NA,NA,NA,NA,NA
211383821,131.041354,11.385502,14.044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211383821,2MASS J08440991+1123078,EPIC 211383821.01,NA,CANDIDATE,131.041351,11.385502,1.567,2457140.162,0.0326,0.07283,0.093,NA,NA,NA,NA
211383821,131.04135,11.385502,14.044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211383821,2MASS J08440991+1123078,EPIC 211383821.01,NA,CANDIDATE,131.041351,11.385502,1.56706496,2457143.288349,0.049,0.0893333,NA,NA,NA,NA,NA
211383821,131.04135,11.385502,14.044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211383821,2MASS J08440991+1123078,EPIC 211383821.01,NA,CANDIDATE,131.041351,11.385502,1.567,2457140.162,0.0326,0.07283,0.093,NA,NA,NA,NA
211390903,132.27809,11.498017,12.97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211390903,2MASS J08490674+1129529,EPIC 211390903.01,NA,CANDIDATE,132.278091,11.498017,7.757595,2457147.80605,0.075,NA,NA,89.17,1.95,NA,NA
211390903,132.278091,11.498017,12.97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211390903,2MASS J08490674+1129529,EPIC 211390903.01,NA,CANDIDATE,132.278091,11.498017,7.757595,2457147.80605,0.075,NA,NA,89.17,1.95,NA,NA
211399359,128.067142,11.630727,14.424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211399359,2MASS J08321610+1137504,EPIC 211399359.01,NA,CANDIDATE,128.067139,11.630727,3.115,2457141.418,2.3415,0.083,0.049,NA,NA,NA,NA
211399359,128.067142,11.630727,14.424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211399359,2MASS J08321610+1137504,EPIC 211399359.01,NA,CANDIDATE,128.067139,11.630727,3.11491262,2457144.531723,2.698,0.0989583,NA,NA,NA,NA,NA
211399359,128.067142,11.630727,14.424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211399359,2MASS J08321610+1137504,EPIC 211399359.01,NA,CANDIDATE,128.067139,11.630727,3.114878,2457144.53308,NA,0.0983,0.1,NA,12.5,NA,NA
211399359,128.06714,11.630727,14.424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211399359,2MASS J08321610+1137504,EPIC 211399359.01,NA,CANDIDATE,128.067139,11.630727,3.115,2457141.418,2.3415,0.083,0.049,NA,NA,NA,NA
