EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,fullname,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_kepflag,pl_k2flag,ra_str,dec_str,ra.x,dec.x,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_msinie,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,rowupdate,epic_host,k2_name,k2_kepmag,tm_designation,ra.y,dec.y
212803289,208.773743,-5.442466,11.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,K2-99 b,K2-99,b,Transit,1,18.251985,0.1597,0.0012,-0.0012,NA,0,1,13h55m05.70s,-05d26m32.9s,208.773743,-5.442466,522.29,11.149,V (Johnson),10.948,6217,78,-78,1.63,0.04,-0.04,2.63,0.07,-0.07,0,1113,NA,NA,NA,NA,NA,11.73,0.42,-0.42,NA,NA,0.39,2016,3,526.77,G0 IV,3.81,0.21,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 212803289,K2-99 b,11.014,2MASS J13550570-0526330,208.773743,-5.442466
213715787,293.833191,-28.497833,13.355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-147 b,K2-147,b,Transit,1,0.961917,0.0159,5e-4,-5e-4,NA,0,1,19h35m19.97s,-28d29m52.2s,293.833191,-28.497833,88,14.019,V (Johnson),13.191,3672,70,-70,0.58,0.06,-0.06,0.55,0.06,-0.06,0,NA,200.1,NA,NA,NA,NA,1.38,0.17,-0.15,NA,NA,NA,2018,3,90.79,NA,4.72,0.19,NA,Space,K2,0.95 m Kepler Telescope,2018-02-01,EPIC 213715787,K2-147 b,13.355,2MASS J19351996-2829523,293.833191,-28.497833
220186645,17.382523,-0.51762,12.961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-204 b,K2-204,b,Transit,1,7.055784,NA,NA,NA,NA,0,1,01h09m31.81s,-00d31m03.4s,17.382523,-0.51762,586.87,13.01,V (Johnson),12.889,5755,50,-50,1.01,0.03,-0.03,1.18,0.16,-0.14,0,NA,NA,NA,NA,NA,NA,3.046,0.433,-0.373,NA,NA,NA,2018,3,586.87,NA,4.23,0.07,NA,Space,K2,0.95 m Kepler Telescope,2018-02-15,EPIC 220186645,K2-204 b,12.961,2MASS J01093180-0031031,17.382523,-0.51762
220225178,20.779097,0.889177,12.302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-208 b,K2-208,b,Transit,1,4.190948,NA,NA,NA,NA,0,1,01h23m06.98s,+00d53m21.0s,20.779097,0.889177,258.76,12.503,V (Johnson),12.314,5582,50,-50,0.93,0.03,-0.03,0.86,0.03,-0.03,0,NA,NA,NA,NA,NA,NA,1.679,0.165,-0.125,NA,NA,NA,2018,3,258.76,NA,4.62,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2018-02-15,EPIC 220225178,K2-208 b,12.302,2MASS J01230698+0053210,20.779097,0.889177
220256496,21.105953,1.704954,12.872,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-211 b,K2-211,b,Transit,1,0.669558,NA,NA,NA,NA,0,1,01h24m25.43s,+01d42m17.8s,21.105953,1.704954,274.39,13.075,V (Johnson),12.933,5221,50,-50,0.88,0.02,-0.03,0.82,0.03,-0.02,0,NA,NA,NA,NA,NA,NA,1.375,0.172,-0.103,NA,NA,NA,2018,3,274.39,NA,4.6,0.11,NA,Space,K2,0.95 m Kepler Telescope,2018-02-15,EPIC 220256496,K2-211 b,12.872,2MASS J01242543+0142176,21.105953,1.704954
228721452,185.306152,-10.282037,11.325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-223 b,K2-223,b,Transit,2,0.50565,0.0127,1e-4,-1e-4,NA,0,1,12h21m13.48s,-10d16m55.3s,185.306152,-10.282037,201.1,11.431,V (Johnson),11.274,5835,38,-40,1.06,0.02,-0.02,0.99,0.01,-0.01,0,2271,NA,NA,NA,NA,NA,0.89,0.1,-0.08,NA,NA,0.41,2018,3,199.7,NA,4.48,0.12,NA,Space,K2,0.95 m Kepler Telescope,2018-07-12,EPIC 228721452,K2-223 b,11.325,2MASS J12211347-1016552,185.306152,-10.282037
228721452,185.306152,-10.282037,11.325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-223 c,K2-223,c,Transit,2,4.56327,0.0549,3e-4,-3e-4,NA,0,1,12h21m13.48s,-10d16m55.3s,185.306152,-10.282037,201.1,11.431,V (Johnson),11.274,5835,38,-40,1.06,0.02,-0.02,0.99,0.01,-0.01,0,1091,NA,NA,NA,NA,NA,1.57,0.11,-0.07,NA,NA,0.42,2018,3,199.7,NA,4.48,0.12,NA,Space,K2,0.95 m Kepler Telescope,2018-07-12,EPIC 228721452,K2-223 c,11.325,2MASS J12211347-1016552,185.306152,-10.282037
228734900,186.541294,-9.624804,11.535,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-225 b,K2-225,b,Transit,1,15.87209,0.134,0.001,-0.001,NA,0,1,12h26m09.91s,-09d37m29.3s,186.54129,-9.624804,360.3,11.836,V (Johnson),11.52,5742,49,-47,1.27,0.02,-0.04,1.7,0.04,-0.04,0,902,NA,NA,NA,NA,NA,3.49,0.26,-0.2,NA,NA,0.4,2018,3,361.41,NA,4.08,0.38,NA,Space,K2,0.95 m Kepler Telescope,2018-07-12,EPIC 228734900,K2-225 b,11.535,2MASS J12260991-0937292,186.54129,-9.624804
228736155,183.645746,-9.562642,12.042,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-226 b,K2-226,b,Transit,1,3.27108,0.0413,5e-4,-5e-4,NA,0,1,12h14m34.98s,-09d33m45.5s,183.645752,-9.562642,211.2,12.308,V (Johnson),12.092,5424,48,-46,0.88,0.03,-0.03,0.91,0.02,-0.02,0,1120,NA,NA,NA,NA,NA,1.54,0.14,-0.09,NA,NA,0.45,2018,3,212.49,NA,4.47,-0.03,NA,Space,K2,0.95 m Kepler Telescope,2018-07-12,EPIC 228736155,K2-226 b,12.042,2MASS J12143498-0933454,183.645752,-9.562642
228748826,185.031765,-8.975785,13.948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-250 b,K2-250,b,Transit,1,4.01457,0.0459,5e-4,-5e-4,NA,0,1,12h20m07.62s,-08d58m32.8s,185.031769,-8.975785,417.6,14.267,V (Johnson),13.973,5172,46,-44,0.8,0.03,-0.02,0.81,0.02,-0.02,0,958,NA,NA,NA,NA,NA,2.44,0.19,-0.15,NA,NA,0.41,2018,3,419.64,NA,4.53,-0.09,NA,Space,K2,0.95 m Kepler Telescope,2018-07-12,EPIC 228748826,K2-250 b,13.948,2MASS J12200763-0858328,185.031769,-8.975785
229426032,253.76889,-28.710563,11.468,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-237 b,K2-237,b,Transit,1,2.18056,0.037,0.002,-0.002,0,0,1,16h55m04.53s,-28d42m38.0s,253.76889,-28.710564,458,11.601,V (Johnson),11.467,6257,100,-100,1.28,0.03,-0.04,1.43,0.06,-0.07,0,1884,NA,508.528,34.9613,-34.9613,NA,18.495,0.785,-0.897,NA,NA,NA,2018,3,317.6,F6 V,4.24,0.14,2.55,Ground,Paranal Observatory,20 cm Telescope,2018-06-21,EPIC 229426032,K2-237 b,11.468,2MASS J16550453-2842380,253.76889,-28.710564
246911830,76.867324,16.867718,12.465,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-260 b,K2-260,b,Transit,1,2.6266657,0.0404,0.0013,-0.0016,0,0,1,05h07m28.16s,+16d52m03.8s,76.867325,16.867718,676.32,12.689,V (Johnson),12.467,6367,250,-250,1.39,0.05,-0.06,1.69,0.03,-0.03,0,1957,NA,451.3186,98.5273,-101.7056,451.3186,17.396,0.538,-0.639,0.947,0.17365,0.122,2018,3,676.32,F6 V,4.15,-0.14,1.9,Space,K2,0.95 m Kepler Telescope,2018-08-16,EPIC 246911830,K2-260 b,12.465,2MASS J05072816+1652037,76.867325,16.867718
